id,text
1083,what is covid-19?
1084,what are the covid-19 symptoms?
1085,i am abroad who to contact?
1086,can my pets get the virus?
1087,can medication be used to reduce fever?
1088,where are cases?
1089,how can covid be transmitted
1090,what are symptoms of coronvirus
1091,what'is corona virus
1092,where can i apply for unemployment
1093,what does breathlessness look like
1094,when will the nhl return?
1095,how dangerous is this?
1096,should i take theraflu?
1097,"if a member of my family is in quarantine, what should i do?"
1098,can a mask help me?
1099,i have a sore throat
1100,is there a medication to reduce temperature with covid-19?
1101,"i'm coughing, should i go to the doctor?"
1102,can i work from home during quarantine?
1103,who is most at risk?
1104,can pets get the virus
1105,how many people are infected in the united states
1106,what can you do
1107,is hs 123 open?
1108,should i wear a respirator?
1109,how long before i get symptons?
1110,what should i do when i get back from another country?
1111,should i get tested for covid-19?
1112,can dogs catch the corona virus
1113,can i test myself?
1114,if i have covid how long do i have to self isoclate
1115,what is the count of coronavirus infected people?
1116,i'm hanging up
1117,how do i get tested for covid -19
1118,will i get paid leave?
1119,what'is corona virus
1120,is it possible to get infected with coronavirus if i have my goods shipped from chinese stores?
1121,are schools open
1122,where can i get a test
1123,connect me to someone
1124,are schools open
1125,does the us have a confirmed covid case?
1126,who am i talking to
1127,where can i get tested in new mexico
1128,when can my kid go back school
1129,under what conditions do i have to quarantine?
1130,ihave sore throat
1131,i want to help those at high risk with shopping. where can i find information on how to help?
1132,"if i have syptoms, how long should i quartine for?"
1133,do i have to quarantine
1134,how can i protect my family from the spread of coronavirus?
1135,is my school closed?
1136,i have illness symptoms
1137,describe shortness of breath
1138,which countries are high risk to travel to?
1139,how do i stay safe
1140,how's the flu different from coronavirus?
1141,is there a vaccine for covid-19
1142,is the school closed
1143,who you are?
1144,can you help me?
1145,should i wear a respirator?
1146,how many people are sick throughout the world?
1147,what is corona virus?
1148,i want to be transferred
1149,whats the difference between cleaning and disinfecting?
1150,what is the difference between flu and coronavirus
1151,can i get tested
1152,when can i return to the united states?
1153,what is corona virus?
1154,what medicines work best
1155,how are you
1156,i want a coronavirus test
1157,what has the world health organization said about covid 19?
1158,what is the treatment for covid-19?
1159,are colleges open
1160,how long do symptons take to develop ?
1161,where can i get a test done?
1162,what should i do to avoid getting sick?
1163,can i go to the store.
1164,how to wash your hands properly?
1165,are people in quarantine checked?
1166,connect me to someone
1167,how long does coronavirus last
1168,is graduation delayed?
1169,what are the symptoms?
1170,is covid dangerous to pregnant women?
1171,what is corona virus
1172,when will my kids school reopen
1173,are schools open?
1174,is my school closed?
1175,where can i test
1176,when do i know if i need to quarantine?
1177,how do flu symptoms differ from coronavirus symptoms?
1178,how does cover-19 compare to the sars epidemic?
1179,is it possible to get infected from the infected person the next day?
1180,how are you doing
1181,is covid the same as the flu?
1182,how do i catch the virus?
1183,when can i expect drugs for the virus?
1184,is rash a symptom of covid-19?
1185,can pets get covid
1186,is coronavirus contagious?
1187,do i need lysol wipes?
1188,where can i test
1189,number of infected
1190,where can i get screened?
1191,how long can i get paid sick leave
1192,are schools open
1193,when is school back in session?
1194,is covid19 contagious?
1195,where do i get a test
1196,how does covid spread
1197,how can i avoid getting sick?
1198,returning from abroad
1199,what medicines should i take if i have coronavirus
1200,how does quarantine work?
1201,is it safe to go outside?
1202,are my kids going to die?
1203,are schools open?
1204,how does quarantine work?
1205,is there a cure for covid-19?
1206,what'is corona virus
1207,what is covid19
1208,do i have covid?
1209,has anyone died of coronavirus in my state?
1210,what is the risk of covid for pregnant women?
1211,how can i not get sick
1212,what can i do when i'm in quarantine?
1213,how do i get screened?
1214,paid sick leave
1215,what position does the who have?
1216,this is hateful
1217,where can i get masks?
1218,how long does it take for the virus to run through my system?
1219,what is the mortality rate of the virus?
1220,how do i stay safe
1221,can a mask help me?
1222,i want to be transferred
1223,who is most at risk?
1224,can i return to the united states if i am abroad?
1225,returning from abroad
1226,what does breathlessness look like
1227,how can i get a test
1228,am i allowed to go to the grocery store?
1229,i don't like this
1230,what is a pandemic?
1231,should i go to the er if i have a cough
1232,what are the first symptoms for covid?
1233,what are symptoms
1234,what are the symptoms of covid?
1235,can i go outside
1236,are my kids going to die?
1237,do i get paid leave time
1238,how long will it be until there is a vaccine?
1239,i'd like a respirator
1240,what if i don't have paid sick leave?
1241,is covid-19 contagious?
1242,what are symtoms?
1243,where cani get tested
1244,how is corona virus different than sars?
1245,"all the stores are out of disinfecting wipes, what do i do?"
1246,events and large gatherings
1247,does the sun kill coronavirus?
1248,how many people are infected with corona virus currently in texas?
1249,are schools open
1250,can pets get covid
1251,ihave sore throat
1252,what sports are being cancelled?
1253,where can i apply for unemployment
1254,can i travel?
1255,what should i do
1256,events and large gatherings
1257,are schools open?
1258,is my kids school closed
1259,what medicine should i be taking for covid 19
1260,are schools closed ?
1261,how many people have the virus in our county
1262,what measurements is the government taking?
1263,what are the symptoms
1264,what can i do to stay safe
1265,what's the difference between the flu and coronavirus
1266,am i going to die from the covid virus?
1267,what does a pandemic mean?
1268,how many ppl are infected in the us?
1269,covid what is it
1270,how many coronavirus cases are there in my area?
1271,flu vs covid19
1272,is there a vaccine for covid-19?
1273,i'm afraid i have covid-19
1274,what are symptoms
1275,yes it is
1276,is there a vaccine for the coronavirus?
1277,what is covid?
1278,its been a week. who can i call to get my test results?
1279,how can i lower my temperature if i have the coronavirus?
1280,"i have sore throat, is it coronavirus?"
1281,is there a medication that can help me feel better?
1282,where do people get protective masks or disinfectants?
1283,does eating garlic help?
1284,do i need a doctor's note to travel?
1285,what is the maximum number of people allowed to meet right now?
1286,what are the symptoms
1287,what are the symptoms
1288,how do i get a test?
1289,what can you help me with
1290,should i take theraflu?
1291,what if i have a roommate and i'm put under quarantine?
1292,my girlfriend has symptoms of covid-19
1293,i think i'm infected
1294,can i test myself?
1295,i have a fever
1296,is the covid test able to detect infection even during the incubation period?
1297,what can i do to prevent coivd?
1298,do i need to do both?
1299,what are covid 19 symptoms
1300,yes it is
1301,can i work from home?
1302,where did corona virus start from?
1303,will i throw up if i have the virus?
1304,does covid spread by packages?
1305,can i get tested
1306,"i need to get home from abroad, who can help me?"
1307,are groups of people allowed to meet?
1308,where do i go for covid19 testing?
1309,i'm having respiratory problems
1310,how many people in texas have corona virus?
1311,does eating garlic help?
1312,is the school closed
1313,does covid spread by packages?
1314,is it even possible to avoid the virus?
1315,can my pets carry the virus?
1316,when can my kid go back to high school
1317,is the government ready for covid
1318,what are the symptoms of covid?
1319,should i get tested for covid-19?
1320,do i have to quarantine
1321,does my workplace offer paid sick leave?
1322,how are you
1323,when will masks be available?
1324,what medicine should i avoid taking if i have coronavirus
1325,is my kids school closed?
1326,origin of coronavirus
1327,what city parks are open?
1328,spreading covid to others
1329,who are you
1330,connect me to someone
